Header array number	header array string	found match string	found match page	found match line
1	General	CONTENTS ... Foreword . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 111 Committee Roster . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . v 1 General . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 2 Flowmeter Description . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 3 Error Sources and Their Reduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6 4 Application Guidelines . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 8 5 Meter Factor Determination and Verification .......................... 9 Figures 1 Wetted Transducer Configuration . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4 2 Protected Configuration With Cavities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4 3 Protected Configuration With Protrusions ............................. 4 4 Protected Configuration With Smooth Bore ............................ 4 5 Acoustic Path Configurations . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 5 6 A Typical Cross Path Ultrasonic Flowmeter Configuration (Paths May Be Multipath Diametric or Chordal) ............................ 7 Appendices A Acoustic Transit Time in a Nonuniform Fluid Velocity Field . . . . . . . . . . . . . . . . 11 B Selection Guidelines ........................................... 14 vii Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	6	6
1.1	Scope	ANSllASME MFC-5M-1985 AN AMERICAN NATIONAL STANDARD AN AMERICAN NATIONAL STANDARD MEASUREMENT OF LIQUID FLOW IN CLOSED CONDUITS USING TRANSIT-TIME ULTRASONIC FLOWMETERS 1 GENERAL 1.1 Scope This Standard applies only to ultrasonic flowmeters that base their operation on the measurement of transit times of acoustic signals. Further, this Standard concerns only the application of such meters when used to mea- sure the volumetric flow rate of a liquid exhibiting homogeneous acoustic properties and flowing in a com- pletely fdled closed conduit. Not covered by this Standard are ultrasonic flow- meters that derive volumetric flow rate from measure- ments of the deviation, scattering (Doppler flowmeter), or correlation of acoustic signals. 1.2 Purpose This Standard provides: (a) a description of the operating principles employed (b) a description of error sources and performance (c) a common set of terminology, symbols, defini- by the ultrasonic flowmeters covered in this Standard; verification procedures; tions, and specifications. 1.3 Terminology, Symbols, and Definitions Terminology and symbols used in this Standard, except for those defined below, are in accordance with ANWASME MFC-lM, Glossary of Terms Used in the Measurement of Fluid Flow in Pipes. acoustic path - the path that the acoustic signals follow as they propagate through the measurement section be- tween the transducer elements axid flow velocity (Vax) - the component of liquid flow velocity at a point in the measurement section that is parallel to the measurement section’s axis and in the direction of the flow being measured cross flow velocity - the component of liquid flow ve- locity at a point in the measurement section that is per- pendicular to the measurement section’s axis measurement section - the section of conduit in which the volumetric flow rate is sensed by the acoustic signals. The measurement section is bounded at both ends by planes perpendicular to the axis of the section and lo- cated at the extreme upstream and downstream trans- ducer positions. nonrefractive system - an ultrasonic flowmeter in which the acoustic path crosses the solid/process liquid inter- faces at a right angle refractive system - an ultrasonic flowmeter in which the acoustic path crosses the solid/process liquid interfaces at other than a right angle transducer - the combination of the transducer element and passive materials transducer element - an active component that pro- duces either acoustic output in response to an electric stimulus and/or an electric output in response to an acoustic stimulus transit time (t) - the time required for an acoustic signal to traverse an acoustic path velocity profire correction factor (S) - a dimensionless factor based on measured knowledge of the velocity pro- file used to adjust the meter output 2 FLOWMETER DESCRIPTION The transit-time ultrasonic flowmeter being con- sidered in this Standard is a complete system composed of the primary device, which is a measurement section with one or more pairs of transducers, and the secondary device, which is the electronic equipment necessary to operate the transducers, make the measurements, pro- cess the measured data, and display or record results. 1 Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	7	7
1.2	Purpose	ANSllASME MFC-5M-1985 AN AMERICAN NATIONAL STANDARD AN AMERICAN NATIONAL STANDARD MEASUREMENT OF LIQUID FLOW IN CLOSED CONDUITS USING TRANSIT-TIME ULTRASONIC FLOWMETERS 1 GENERAL 1.1 Scope This Standard applies only to ultrasonic flowmeters that base their operation on the measurement of transit times of acoustic signals. Further, this Standard concerns only the application of such meters when used to mea- sure the volumetric flow rate of a liquid exhibiting homogeneous acoustic properties and flowing in a com- pletely fdled closed conduit. Not covered by this Standard are ultrasonic flow- meters that derive volumetric flow rate from measure- ments of the deviation, scattering (Doppler flowmeter), or correlation of acoustic signals. 1.2 Purpose This Standard provides: (a) a description of the operating principles employed (b) a description of error sources and performance (c) a common set of terminology, symbols, defini- by the ultrasonic flowmeters covered in this Standard; verification procedures; tions, and specifications. 1.3 Terminology, Symbols, and Definitions Terminology and symbols used in this Standard, except for those defined below, are in accordance with ANWASME MFC-lM, Glossary of Terms Used in the Measurement of Fluid Flow in Pipes. acoustic path - the path that the acoustic signals follow as they propagate through the measurement section be- tween the transducer elements axid flow velocity (Vax) - the component of liquid flow velocity at a point in the measurement section that is parallel to the measurement section’s axis and in the direction of the flow being measured cross flow velocity - the component of liquid flow ve- locity at a point in the measurement section that is per- pendicular to the measurement section’s axis measurement section - the section of conduit in which the volumetric flow rate is sensed by the acoustic signals. The measurement section is bounded at both ends by planes perpendicular to the axis of the section and lo- cated at the extreme upstream and downstream trans- ducer positions. nonrefractive system - an ultrasonic flowmeter in which the acoustic path crosses the solid/process liquid inter- faces at a right angle refractive system - an ultrasonic flowmeter in which the acoustic path crosses the solid/process liquid interfaces at other than a right angle transducer - the combination of the transducer element and passive materials transducer element - an active component that pro- duces either acoustic output in response to an electric stimulus and/or an electric output in response to an acoustic stimulus transit time (t) - the time required for an acoustic signal to traverse an acoustic path velocity profire correction factor (S) - a dimensionless factor based on measured knowledge of the velocity pro- file used to adjust the meter output 2 FLOWMETER DESCRIPTION The transit-time ultrasonic flowmeter being con- sidered in this Standard is a complete system composed of the primary device, which is a measurement section with one or more pairs of transducers, and the secondary device, which is the electronic equipment necessary to operate the transducers, make the measurements, pro- cess the measured data, and display or record results. 1 Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	7	7
1.3	Terminology, Symbols, and Definitions	ANSllASME MFC-5M-1985 AN AMERICAN NATIONAL STANDARD AN AMERICAN NATIONAL STANDARD MEASUREMENT OF LIQUID FLOW IN CLOSED CONDUITS USING TRANSIT-TIME ULTRASONIC FLOWMETERS 1 GENERAL 1.1 Scope This Standard applies only to ultrasonic flowmeters that base their operation on the measurement of transit times of acoustic signals. Further, this Standard concerns only the application of such meters when used to mea- sure the volumetric flow rate of a liquid exhibiting homogeneous acoustic properties and flowing in a com- pletely fdled closed conduit. Not covered by this Standard are ultrasonic flow- meters that derive volumetric flow rate from measure- ments of the deviation, scattering (Doppler flowmeter), or correlation of acoustic signals. 1.2 Purpose This Standard provides: (a) a description of the operating principles employed (b) a description of error sources and performance (c) a common set of terminology, symbols, defini- by the ultrasonic flowmeters covered in this Standard; verification procedures; tions, and specifications. 1.3 Terminology, Symbols, and Definitions Terminology and symbols used in this Standard, except for those defined below, are in accordance with ANWASME MFC-lM, Glossary of Terms Used in the Measurement of Fluid Flow in Pipes. acoustic path - the path that the acoustic signals follow as they propagate through the measurement section be- tween the transducer elements axid flow velocity (Vax) - the component of liquid flow velocity at a point in the measurement section that is parallel to the measurement section’s axis and in the direction of the flow being measured cross flow velocity - the component of liquid flow ve- locity at a point in the measurement section that is per- pendicular to the measurement section’s axis measurement section - the section of conduit in which the volumetric flow rate is sensed by the acoustic signals. The measurement section is bounded at both ends by planes perpendicular to the axis of the section and lo- cated at the extreme upstream and downstream trans- ducer positions. nonrefractive system - an ultrasonic flowmeter in which the acoustic path crosses the solid/process liquid inter- faces at a right angle refractive system - an ultrasonic flowmeter in which the acoustic path crosses the solid/process liquid interfaces at other than a right angle transducer - the combination of the transducer element and passive materials transducer element - an active component that pro- duces either acoustic output in response to an electric stimulus and/or an electric output in response to an acoustic stimulus transit time (t) - the time required for an acoustic signal to traverse an acoustic path velocity profire correction factor (S) - a dimensionless factor based on measured knowledge of the velocity pro- file used to adjust the meter output 2 FLOWMETER DESCRIPTION The transit-time ultrasonic flowmeter being con- sidered in this Standard is a complete system composed of the primary device, which is a measurement section with one or more pairs of transducers, and the secondary device, which is the electronic equipment necessary to operate the transducers, make the measurements, pro- cess the measured data, and display or record results. 1 Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	7	7
2	Flowmeter Description	CONTENTS ... Foreword . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 111 Committee Roster . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . v 1 General . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 2 Flowmeter Description . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 3 Error Sources and Their Reduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6 4 Application Guidelines . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 8 5 Meter Factor Determination and Verification .......................... 9 Figures 1 Wetted Transducer Configuration . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4 2 Protected Configuration With Cavities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4 3 Protected Configuration With Protrusions ............................. 4 4 Protected Configuration With Smooth Bore ............................ 4 5 Acoustic Path Configurations . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 5 6 A Typical Cross Path Ultrasonic Flowmeter Configuration (Paths May Be Multipath Diametric or Chordal) ............................ 7 Appendices A Acoustic Transit Time in a Nonuniform Fluid Velocity Field . . . . . . . . . . . . . . . . 11 B Selection Guidelines ........................................... 14 vii Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	6	6
2.1	Operating Principles	ANSllASME MFC-5M-1985 AN AMERICAN NATIONAL STANDARD AN AMERICAN NATIONAL STANDARD MEASUREMENT OF LIQUID FLOW IN CLOSED CONDUITS USING TRANSIT-TIME ULTRASONIC FLOWMETERS 1 GENERAL 1.1 Scope This Standard applies only to ultrasonic flowmeters that base their operation on the measurement of transit times of acoustic signals. Further, this Standard concerns only the application of such meters when used to mea- sure the volumetric flow rate of a liquid exhibiting homogeneous acoustic properties and flowing in a com- pletely fdled closed conduit. Not covered by this Standard are ultrasonic flow- meters that derive volumetric flow rate from measure- ments of the deviation, scattering (Doppler flowmeter), or correlation of acoustic signals. 1.2 Purpose This Standard provides: (a) a description of the operating principles employed (b) a description of error sources and performance (c) a common set of terminology, symbols, defini- by the ultrasonic flowmeters covered in this Standard; verification procedures; tions, and specifications. 1.3 Terminology, Symbols, and Definitions Terminology and symbols used in this Standard, except for those defined below, are in accordance with ANWASME MFC-lM, Glossary of Terms Used in the Measurement of Fluid Flow in Pipes. acoustic path - the path that the acoustic signals follow as they propagate through the measurement section be- tween the transducer elements axid flow velocity (Vax) - the component of liquid flow velocity at a point in the measurement section that is parallel to the measurement section’s axis and in the direction of the flow being measured cross flow velocity - the component of liquid flow ve- locity at a point in the measurement section that is per- pendicular to the measurement section’s axis measurement section - the section of conduit in which the volumetric flow rate is sensed by the acoustic signals. The measurement section is bounded at both ends by planes perpendicular to the axis of the section and lo- cated at the extreme upstream and downstream trans- ducer positions. nonrefractive system - an ultrasonic flowmeter in which the acoustic path crosses the solid/process liquid inter- faces at a right angle refractive system - an ultrasonic flowmeter in which the acoustic path crosses the solid/process liquid interfaces at other than a right angle transducer - the combination of the transducer element and passive materials transducer element - an active component that pro- duces either acoustic output in response to an electric stimulus and/or an electric output in response to an acoustic stimulus transit time (t) - the time required for an acoustic signal to traverse an acoustic path velocity profire correction factor (S) - a dimensionless factor based on measured knowledge of the velocity pro- file used to adjust the meter output 2 FLOWMETER DESCRIPTION The transit-time ultrasonic flowmeter being con- sidered in this Standard is a complete system composed of the primary device, which is a measurement section with one or more pairs of transducers, and the secondary device, which is the electronic equipment necessary to operate the transducers, make the measurements, pro- cess the measured data, and display or record results. 1 Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	7	7
2.1.1	Introduction	ANSIIASME MFC-5M-1985 AN AMERICAN NATIONAL STANDARD 2.1 Operating Principles 2.1.1 Introduction. At any given instant, the differ- ence between the apparent speed of sound in a moving liquid and the speed of sound in that same liquid at rest is directly proportional to the liquid’s instantaneous velocity. As a consequence, a measure of the average velocity of the liquid along a path can be obtained by transmitting an acoustic pulse along the path and sub- sequently measuring its transit time. The volumetric flow rate of a liquid flowing in a com- pletely filled closed conduit is defined as the average velocity of the liquid over a cross section multiplied by the area of the cross section. Thus, by measuring the average velocity of a liquid along one or more acoustic paths and combining the measurements with knowledge of the cross-sectional area and the velocity profile over the cross section, it is possible to obtain an estimate of the volumetric flow rate of the liquid in the conduit. The theoretical considerations involved in implement- ing these concepts is the subject of this section. 2.1.2 Fluid Velocity Measurement. Several techniques can be used to obtain a measure of the average effective speed of propagation of an acoustic pulse in a moving liquid in-order to determine the average axial flow ve- locity (V,) along an acoustic path. Two approaches, transit-time difference and frequency difference, will be discussed here. 2.1.2.1 Transit-Time Difference. The basis of this technique is the direct measurement of the transit time of acoustic signals as they propagate between a trans- mitter and a receiver, both of which are assumed (see para. 2.1.3) to be in direct contact with the liquid. Dif- ferent transmitter/receiver arrangements are described in para. 2.1.3 below. For an acoustic signal traveling up- stream, the apparent sound speed at any point along the line of transmission, assuming only axial flow, is where C, is the speed of sound in the liquid at rest, 6 is the angle between the acoustic path and V,, and V, is the axial flow velocity at the point in question (see Fig. 1). For a downstream pulse, In the ideal case of plug flow, V,, is constant through- out the liquid and the acoustic path is a straight line, i.e., 0 = constant = 8, (path angle for fluid at rest). MEASUREMENT OF LIQUID FLOW IN CLOSED CONDUITS USING TRANSIT-TIME ULTRASONIC FLOWMETERS Consequently, Cup and CdO- are both constants along the acoustic path. In this case the upstream and down- stream transit times(tup, tdo-) are given respectively by: tup = (3) c, ++ - v, cos eo and (4) sin’ e, + V , cos e, where 1, is the straight line distance between the centers of the faces of the acoustic transmitter and receiver. Taking the difference between the reciprocals of these transit times leads to 1 1 2va, cos e, - tdown tup IO and, on rearranging, to where At = tup - tdown. Since v,, is constant, v, = v,, (the average flow velocity). This analysis becomes more complicated in the ab- sence of plug flow. Nevertheless, to the degree that (Vax/Co)&ax. << 1, the result for the average of the axial liquid velocity along the acoustic path (v,) is identical (see Appendix A), i.e., - 2.1.2.2 Frequency Difference. In a frequency differ- ence measurement approach, the reception of an acous- tic signal at the receiver is used as a reference for gener- ating a subsequent acoustic signal at the transmitter. Assuming no delays other than the propagation time of the acoustic pulses in the liquid, the frequency at which the pulses are generated or received is proportional to the reciprocal of their transit time. The equations derived in the previous paragraph are equally valid in this case, the 2 Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	8	8
2.1.2	Fluid Velocity Measurement	ANSIIASME MFC-5M-1985 AN AMERICAN NATIONAL STANDARD 2.1 Operating Principles 2.1.1 Introduction. At any given instant, the differ- ence between the apparent speed of sound in a moving liquid and the speed of sound in that same liquid at rest is directly proportional to the liquid’s instantaneous velocity. As a consequence, a measure of the average velocity of the liquid along a path can be obtained by transmitting an acoustic pulse along the path and sub- sequently measuring its transit time. The volumetric flow rate of a liquid flowing in a com- pletely filled closed conduit is defined as the average velocity of the liquid over a cross section multiplied by the area of the cross section. Thus, by measuring the average velocity of a liquid along one or more acoustic paths and combining the measurements with knowledge of the cross-sectional area and the velocity profile over the cross section, it is possible to obtain an estimate of the volumetric flow rate of the liquid in the conduit. The theoretical considerations involved in implement- ing these concepts is the subject of this section. 2.1.2 Fluid Velocity Measurement. Several techniques can be used to obtain a measure of the average effective speed of propagation of an acoustic pulse in a moving liquid in-order to determine the average axial flow ve- locity (V,) along an acoustic path. Two approaches, transit-time difference and frequency difference, will be discussed here. 2.1.2.1 Transit-Time Difference. The basis of this technique is the direct measurement of the transit time of acoustic signals as they propagate between a trans- mitter and a receiver, both of which are assumed (see para. 2.1.3) to be in direct contact with the liquid. Dif- ferent transmitter/receiver arrangements are described in para. 2.1.3 below. For an acoustic signal traveling up- stream, the apparent sound speed at any point along the line of transmission, assuming only axial flow, is where C, is the speed of sound in the liquid at rest, 6 is the angle between the acoustic path and V,, and V, is the axial flow velocity at the point in question (see Fig. 1). For a downstream pulse, In the ideal case of plug flow, V,, is constant through- out the liquid and the acoustic path is a straight line, i.e., 0 = constant = 8, (path angle for fluid at rest). MEASUREMENT OF LIQUID FLOW IN CLOSED CONDUITS USING TRANSIT-TIME ULTRASONIC FLOWMETERS Consequently, Cup and CdO- are both constants along the acoustic path. In this case the upstream and down- stream transit times(tup, tdo-) are given respectively by: tup = (3) c, ++ - v, cos eo and (4) sin’ e, + V , cos e, where 1, is the straight line distance between the centers of the faces of the acoustic transmitter and receiver. Taking the difference between the reciprocals of these transit times leads to 1 1 2va, cos e, - tdown tup IO and, on rearranging, to where At = tup - tdown. Since v,, is constant, v, = v,, (the average flow velocity). This analysis becomes more complicated in the ab- sence of plug flow. Nevertheless, to the degree that (Vax/Co)&ax. << 1, the result for the average of the axial liquid velocity along the acoustic path (v,) is identical (see Appendix A), i.e., - 2.1.2.2 Frequency Difference. In a frequency differ- ence measurement approach, the reception of an acous- tic signal at the receiver is used as a reference for gener- ating a subsequent acoustic signal at the transmitter. Assuming no delays other than the propagation time of the acoustic pulses in the liquid, the frequency at which the pulses are generated or received is proportional to the reciprocal of their transit time. The equations derived in the previous paragraph are equally valid in this case, the 2 Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	8	8
2.1.2.1	Transit-Time Difference	ANSIIASME MFC-5M-1985 AN AMERICAN NATIONAL STANDARD 2.1 Operating Principles 2.1.1 Introduction. At any given instant, the differ- ence between the apparent speed of sound in a moving liquid and the speed of sound in that same liquid at rest is directly proportional to the liquid’s instantaneous velocity. As a consequence, a measure of the average velocity of the liquid along a path can be obtained by transmitting an acoustic pulse along the path and sub- sequently measuring its transit time. The volumetric flow rate of a liquid flowing in a com- pletely filled closed conduit is defined as the average velocity of the liquid over a cross section multiplied by the area of the cross section. Thus, by measuring the average velocity of a liquid along one or more acoustic paths and combining the measurements with knowledge of the cross-sectional area and the velocity profile over the cross section, it is possible to obtain an estimate of the volumetric flow rate of the liquid in the conduit. The theoretical considerations involved in implement- ing these concepts is the subject of this section. 2.1.2 Fluid Velocity Measurement. Several techniques can be used to obtain a measure of the average effective speed of propagation of an acoustic pulse in a moving liquid in-order to determine the average axial flow ve- locity (V,) along an acoustic path. Two approaches, transit-time difference and frequency difference, will be discussed here. 2.1.2.1 Transit-Time Difference. The basis of this technique is the direct measurement of the transit time of acoustic signals as they propagate between a trans- mitter and a receiver, both of which are assumed (see para. 2.1.3) to be in direct contact with the liquid. Dif- ferent transmitter/receiver arrangements are described in para. 2.1.3 below. For an acoustic signal traveling up- stream, the apparent sound speed at any point along the line of transmission, assuming only axial flow, is where C, is the speed of sound in the liquid at rest, 6 is the angle between the acoustic path and V,, and V, is the axial flow velocity at the point in question (see Fig. 1). For a downstream pulse, In the ideal case of plug flow, V,, is constant through- out the liquid and the acoustic path is a straight line, i.e., 0 = constant = 8, (path angle for fluid at rest). MEASUREMENT OF LIQUID FLOW IN CLOSED CONDUITS USING TRANSIT-TIME ULTRASONIC FLOWMETERS Consequently, Cup and CdO- are both constants along the acoustic path. In this case the upstream and down- stream transit times(tup, tdo-) are given respectively by: tup = (3) c, ++ - v, cos eo and (4) sin’ e, + V , cos e, where 1, is the straight line distance between the centers of the faces of the acoustic transmitter and receiver. Taking the difference between the reciprocals of these transit times leads to 1 1 2va, cos e, - tdown tup IO and, on rearranging, to where At = tup - tdown. Since v,, is constant, v, = v,, (the average flow velocity). This analysis becomes more complicated in the ab- sence of plug flow. Nevertheless, to the degree that (Vax/Co)&ax. << 1, the result for the average of the axial liquid velocity along the acoustic path (v,) is identical (see Appendix A), i.e., - 2.1.2.2 Frequency Difference. In a frequency differ- ence measurement approach, the reception of an acous- tic signal at the receiver is used as a reference for gener- ating a subsequent acoustic signal at the transmitter. Assuming no delays other than the propagation time of the acoustic pulses in the liquid, the frequency at which the pulses are generated or received is proportional to the reciprocal of their transit time. The equations derived in the previous paragraph are equally valid in this case, the 2 Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	8	8
2.1.2.2	Frequency Difference	ANSIIASME MFC-5M-1985 AN AMERICAN NATIONAL STANDARD 2.1 Operating Principles 2.1.1 Introduction. At any given instant, the differ- ence between the apparent speed of sound in a moving liquid and the speed of sound in that same liquid at rest is directly proportional to the liquid’s instantaneous velocity. As a consequence, a measure of the average velocity of the liquid along a path can be obtained by transmitting an acoustic pulse along the path and sub- sequently measuring its transit time. The volumetric flow rate of a liquid flowing in a com- pletely filled closed conduit is defined as the average velocity of the liquid over a cross section multiplied by the area of the cross section. Thus, by measuring the average velocity of a liquid along one or more acoustic paths and combining the measurements with knowledge of the cross-sectional area and the velocity profile over the cross section, it is possible to obtain an estimate of the volumetric flow rate of the liquid in the conduit. The theoretical considerations involved in implement- ing these concepts is the subject of this section. 2.1.2 Fluid Velocity Measurement. Several techniques can be used to obtain a measure of the average effective speed of propagation of an acoustic pulse in a moving liquid in-order to determine the average axial flow ve- locity (V,) along an acoustic path. Two approaches, transit-time difference and frequency difference, will be discussed here. 2.1.2.1 Transit-Time Difference. The basis of this technique is the direct measurement of the transit time of acoustic signals as they propagate between a trans- mitter and a receiver, both of which are assumed (see para. 2.1.3) to be in direct contact with the liquid. Dif- ferent transmitter/receiver arrangements are described in para. 2.1.3 below. For an acoustic signal traveling up- stream, the apparent sound speed at any point along the line of transmission, assuming only axial flow, is where C, is the speed of sound in the liquid at rest, 6 is the angle between the acoustic path and V,, and V, is the axial flow velocity at the point in question (see Fig. 1). For a downstream pulse, In the ideal case of plug flow, V,, is constant through- out the liquid and the acoustic path is a straight line, i.e., 0 = constant = 8, (path angle for fluid at rest). MEASUREMENT OF LIQUID FLOW IN CLOSED CONDUITS USING TRANSIT-TIME ULTRASONIC FLOWMETERS Consequently, Cup and CdO- are both constants along the acoustic path. In this case the upstream and down- stream transit times(tup, tdo-) are given respectively by: tup = (3) c, ++ - v, cos eo and (4) sin’ e, + V , cos e, where 1, is the straight line distance between the centers of the faces of the acoustic transmitter and receiver. Taking the difference between the reciprocals of these transit times leads to 1 1 2va, cos e, - tdown tup IO and, on rearranging, to where At = tup - tdown. Since v,, is constant, v, = v,, (the average flow velocity). This analysis becomes more complicated in the ab- sence of plug flow. Nevertheless, to the degree that (Vax/Co)&ax. << 1, the result for the average of the axial liquid velocity along the acoustic path (v,) is identical (see Appendix A), i.e., - 2.1.2.2 Frequency Difference. In a frequency differ- ence measurement approach, the reception of an acous- tic signal at the receiver is used as a reference for gener- ating a subsequent acoustic signal at the transmitter. Assuming no delays other than the propagation time of the acoustic pulses in the liquid, the frequency at which the pulses are generated or received is proportional to the reciprocal of their transit time. The equations derived in the previous paragraph are equally valid in this case, the 2 Copyrighted material licensed to Stanford University by Thomson Scientific (www.techstreet.com), downloaded on Oct-05-2010 by Stanford University User. No further reproduction or distribution is permitted. Uncontrolled w	8	8
